Behold		N
,		N
there		N
came		N
up		N
out		N
of		N
the		N
river	0.0	C
seven		N
cattle		N
,		N
sleek		N
and		N
fat		N
,		N
and		N
they		N
fed		N
in		N
the		N
marsh		N
grass		N
.		N

I		N
am		N
a		N
fellow		N
bondservant		N
with		N
you		N
and		N
with		N
your		N
brothers	0.0	C
,		N
the		N
prophets		N
,		N
and		N
with		N
those		N
who		N
keep		N
the		N
words		N
of		N
this		N
book		N
.		N

The		N
man		N
,		N
the		N
lord		N
of		N
the		N
land		N
,		N
said		N
to		N
us		N
,		N
'By		N
this		N
I		N
will		N
know		N
that		N
you		N
are		N
honest		N
men		N
:		N
leave		N
one		N
of		N
your		N
brothers	0.05	C
with		N
me		N
,		N
and		N
take		N
grain		N
for		N
the		N
famine		N
of		N
your		N
houses		N
,		N
and		N
go		N
your		N
way		N
.		N

Shimei		N
had		N
sixteen		N
sons		N
and		N
six		N
daughters		N
;		N
but		N
his		N
brothers	0.15	C
did		N
n't		N
have		N
many		N
children		N
,		N
neither		N
did		N
all		N
their		N
family		N
multiply		N
like		N
the		N
children		N
of		N
Judah		N
.		N

He		N
has		N
put		N
my		N
brothers	0.263888888888889	C
far		N
from		N
me		N
.		N

Therefore		N
I		N
urge		N
you		N
,		N
brothers	0.264705882352941	C
,		N
by		N
the		N
mercies		N
of		N
God		N
,		N
to		N
present		N
your		N
bodies		N
a		N
living		N
sacrifice		N
,		N
holy		N
,		N
acceptable		N
to		N
God		N
,		N
which		N
is		N
your		N
spiritual		N
service		N
.		N

Rehoboam		N
loved		N
Maacah		N
the		N
daughter		N
of		N
Absalom		N
above		N
all		N
his		N
wives		N
and		N
his		N
concubines		N
:		N
(		N
for		N
he		N
took		N
eighteen		N
wives		N
,		N
and		N
sixty		N
concubines		N
,		N
and		N
became		N
the		N
father		N
of		N
twenty-eight		N
sons	0.0	C
and		N
sixty		N
daughters		N
.		N
)		N

Then		N
they		N
brought		N
out		N
the		N
king		N
's		N
son		N
,		N
and		N
put		N
the		N
crown		N
on		N
him		N
,		N
and		N
gave		N
him		N
the		N
testimony		N
,		N
and		N
made		N
him		N
king		N
:		N
and		N
Jehoiada		N
and		N
his		N
sons	0.055555555555556	C
anointed		N
him		N
;		N
and		N
they		N
said		N
,		N
``		N
Long		N
live		N
the		N
king		N
!		N

Moreover		N
Yahweh		N
will		N
deliver		N
Israel		N
also		N
with		N
you		N
into		N
the		N
hand		N
of		N
the		N
Philistines		N
;		N
and		N
tomorrow		N
you		N
and		N
your		N
sons	0.160714285714286	C
will		N
be		N
with		N
me		N
.		N

The		N
sons	0.160714285714286	C
of		N
Perez		N
:		N
Hezron		N
,		N
and		N
Hamul		N
.		N

But		N
to		N
the		N
sons	0.171875	C
of		N
Kohath		N
he		N
gave		N
none		N
,		N
because		N
the		N
service		N
of		N
the		N
sanctuary		N
belonged		N
to		N
them		N
;		N
they		N
carried		N
it		N
on		N
their		N
shoulders		N
.		N

The		N
days	0.0	C
of		N
our		N
years		N
are		N
seventy		N
,		N
or		N
even		N
by		N
reason		N
of		N
strength		N
eighty		N
years		N
;		N
yet		N
their		N
pride		N
is		N
but		N
labor		N
and		N
sorrow		N
,		N
for		N
it		N
passes		N
quickly		N
,		N
and		N
we		N
fly		N
away		N
.		N

Six		N
days	0.18055555555555605	C
you		N
shall		N
gather		N
it		N
,		N
but		N
on		N
the		N
seventh		N
day		N
is		N
the		N
Sabbath		N
.		N

Seven		N
days	0.25	C
you		N
shall		N
eat		N
unleavened		N
bread		N
,		N
as		N
I		N
commanded		N
you		N
,		N
at		N
the		N
time		N
appointed		N
in		N
the		N
month		N
Abib		N
;		N
for		N
in		N
the		N
month		N
Abib		N
you		N
came		N
out		N
from		N
Egypt		N
.		N

David		N
said		N
to		N
Saul		N
,		N
``		N
Your		N
servant		N
was		N
keeping		N
his		N
father		N
's		N
sheep		N
;		N
and		N
when		N
a		N
lion	0.0	C
or		N
a		N
bear		N
came		N
,		N
and		N
took		N
a		N
lamb		N
out		N
of		N
the		N
flock		N
,		N

Your		N
own		N
sword		N
has		N
devoured		N
your		N
prophets		N
,		N
like		N
a		N
destroying		N
lion	0.21875	C
.		N

For		N
the		N
waters		N
of		N
Dimon		N
are		N
full		N
of		N
blood		N
;		N
for		N
I		N
will		N
bring		N
yet		N
more		N
on		N
Dimon		N
,		N
a		N
lion	0.28125	C
on		N
those		N
of		N
Moab		N
who		N
escape		N
,		N
and		N
on		N
the		N
remnant		N
of		N
the		N
land		N
.		N

The		N
king		N
's		N
wrath		N
is		N
like		N
the		N
roaring		N
of		N
a		N
lion	0.31578947368421	C
,		N
but		N
his		N
favor		N
is		N
like		N
dew		N
on		N
the		N
grass		N
.		N

Mount		N
Sinai		N
,		N
all		N
it		N
,		N
smoked		N
,		N
because		N
Yahweh		N
descended		N
on		N
it		N
in		N
fire	0.0	C
;		N
and		N
its		N
smoke		N
ascended		N
like		N
the		N
smoke		N
of		N
a		N
furnace		N
,		N
and		N
the		N
whole		N
mountain		N
quaked		N
greatly		N
.		N

They		N
shall		N
go		N
forth		N
,		N
and		N
look		N
on		N
the		N
dead		N
bodies		N
of		N
the		N
men		N
who		N
have		N
transgressed		N
against		N
me		N
:		N
for		N
their		N
worm		N
shall		N
not		N
die		N
,		N
neither		N
shall		N
their		N
fire	0.055555555555556	C
be		N
quenched		N
;		N
and		N
they		N
will		N
be		N
loathsome		N
to		N
all		N
mankind		N
.		N

and		N
of		N
them		N
shall		N
be		N
taken		N
up		N
a		N
curse		N
by		N
all		N
the		N
captives		N
of		N
Judah		N
who		N
are		N
in		N
Babylon		N
,		N
saying		N
,		N
Yahweh		N
make		N
you		N
like		N
Zedekiah		N
and		N
like		N
Ahab		N
,		N
whom		N
the		N
king		N
of		N
Babylon		N
roasted		N
in		N
the		N
fire	0.125	C
;		N

But		N
for		N
the		N
cowardly		N
,		N
unbelieving		N
,		N
sinners		N
,		N
abominable		N
,		N
murderers		N
,		N
sexually		N
immoral		N
,		N
sorcerers		N
,		N
idolaters		N
,		N
and		N
all		N
liars		N
,		N
their		N
part		N
is		N
in		N
the		N
lake		N
that		N
burns		N
with		N
fire	0.133333333333333	C
and		N
sulfur		N
,		N
which		N
is		N
the		N
second		N
death		N
.		N
''		N

Yes		N
,		N
I		N
will		N
gather		N
you		N
,		N
and		N
blow		N
on		N
you		N
with		N
the		N
fire	0.30357142857142894	C
of		N
my		N
wrath		N
,		N
and		N
you		N
shall		N
be		N
melted		N
in		N
its		N
midst		N
.		N

He		N
was		N
despised		N
,		N
and		N
rejected		N
by		N
men		N
;		N
a		N
man		N
of		N
suffering		N
,		N
and		N
acquainted		N
with		N
disease	0.125	C
.		N

Happy		N
is		N
everyone	0.0	C
who		N
retains		N
her		N
.		N

For		N
everyone	0.166666666666667	C
who		N
exalts		N
himself		N
will		N
be		N
humbled		N
,		N
and		N
whoever		N
humbles		N
himself		N
will		N
be		N
exalted		N
.		N
''		N

Yet		N
will		N
I		N
leave		N
seven		N
thousand		N
in		N
Israel		N
,		N
all		N
the		N
knees	0.0	C
which		N
have		N
not		N
bowed		N
to		N
